id;id_paroisse;id_culte;jour;heure;minute;details;ref_eglise;ref_lieu;
1;1;1;samedi;18;00;Messe dominicale Avec orgue de choeur et animateur liturgique;0;0;
2;2;2;samedi;18;00;Messe dominicale;1;1;
3;3;3;samedi;18;30;Messe dominicale Polonais;2;2;
4;4;4;samedi;18;30;Messe dominicale;3;3;
5;3;3;dimanche;08;00;Messe dominicale Polonais;2;2;
6;3;3;dimanche;09;30;Messe dominicale Polonais;2;2;
7;1;1;dimanche;09;30;Messe dominicale À la chapelle de la Vierge;0;0;
8;2;2;dimanche;09;45;Messe dominicale Latin, Rite extraordinaire tridentin (missel saint Pie V / Jean XXIII);1;1;
9;3;3;dimanche;11;00;Messe dominicale Polonais;2;2;
10;1;1;dimanche;11;00;Messe dominicale Avec grand orgue, orgue de choeur et les Chanteurs de Saint-Eustache;0;0;
11;5;5;dimanche;11;00;Messe dominicale;4;4;
12;4;4;dimanche;11;00;Messe dominicale;3;3;
13;2;2;dimanche;11;30;Messe dominicale;1;1;
14;4;4;dimanche;12;15;Messe dominicale;3;3;
15;3;3;dimanche;14;00;Messe dominicale Polonais;2;2;
16;3;3;dimanche;16;00;Messe dominicale Polonais, Jeune;2;2;
17;1;1;dimanche;18;00;Messe dominicale Avec grand orgue, orgue de choeur et animateur liturgique;0;0;
18;4;4;dimanche;18;30;Messe dominicale Jeune;3;3;
19;2;2;dimanche;19;00;Messe dominicale Grégorien;1;1;
20;3;3;dimanche;19;30;Messe dominicale Polonais, Jeune;2;2;
21;6;6;samedi;17;30;Messe dominicale;5;5;
22;7;7;samedi;18;00;Messe dominicale;6;6;
23;6;6;dimanche;10;30;Messe dominicale;5;5;
24;7;7;dimanche;11;00;Messe dominicale 17h Office des Vêpres;6;6;
25;7;7;dimanche;18;00;Messe dominicale 17h Office des Vêpres;6;6;
26;8;8;samedi;18;30;Messe dominicale;7;7;
27;9;9;samedi;18;30;Messe dominicale;8;8;
28;10;10;samedi;18;30;Messe dominicale Messe;9;9;
