id,id_paroisse,nom,ref_eglise,
1,1,Saint Eustache,0,
2,2,Saint Germain l'Auxerrois,1,
3,3,Notre Dame de l'Assomption (polonais),2,
4,3,La Madeleine,2,
5,4,Saint Roch,3,
6,5,Saint Leu Saint Gilles,4,
7,6,Notre Dame de Bonne Nouvelle,5,
8,7,Basilique Notre Dame des Victoires,6,
9,8,Saint Denys du Saint Sacrement,7,
10,9,Saint Nicolas des Champs,8,
11,10,Sainte Elisabeth de Hongrie,9,
12,11,Saint Paul Saint Louis,10,
13,12,Notre Dame des Blancs Manteaux,11,
14,13,Cathédrale Notre Dame de Paris,12,
15,14,Saint Louis en l'Ile,13,
16,15,Saint Merry,14,
17,16,Saint Gervais - Saint Protais (Fraternités Monastiques de Jérusalem),15,
18,17,Oratoire de la Collégiale (hôpital),16,
19,18,Saint Jacques du Haut Pas,17,
20,18,Monastère de l'Adoration Réparatrice,17,
21,19,Eglise Notre-Dame du Liban paroisse maronite,18,
22,20,Saint Médard,19,
23,21,Saint Etienne du Mont,20,
24,21,Chapelle Saint Patrick (Irlandais),20,
25,22,Saint-Séverin,21,
26,23,Saint Julien le Pauvre (paroisse grecque-melchite),22,
27,24,Saint Joseph des Carmes,23,
28,24,Saint Ignace,23,
29,24,Saint-Sulpice,23,
30,25,Notre Dame des Champs,24,
31,25,Couvent des Carmes,24,
32,25,Notre Dame des Anges,24,
33,25,Notre Dame de Paix,24,
34,25,Saint Bernard de Maine Montparnasse,24,
35,26,Saint Germain des Prés,25,
36,27,Saint Vincent de Paul,26,
37,27,Saint François Xavier (SFX),26,
38,27,Missions Etrangères,26,
39,27,Bon Conseil,26,
40,28,Chapelle Notre Dame de la Médaille Miraculeuse,27,
41,29,Saint Pierre du Gros Caillou,28,
42,30,Saint Thomas d'Aquin,29,
43,31,Sainte Clotilde,30,
44,31,Chapelle de Jésus Enfant,30,
45,32,Saint Louis des Invalides,31,
46,32,Saint Louis de l'Ecole Militaire,31,
47,33,L'Annonciation (dominicains),32,
48,33,Saint Philippe du Roule,32,
49,33,Corpus Christi,32,
50,34,Saint André de l'Europe,33,
51,35,Saint Augustin,34,
52,36,Saint Louis d'Antin,35,
53,37,Sainte Rita,36,
54,37,La Trinité,36,
55,38,Notre Dame de Lorette,37,
56,39,Saint Eugène,38,
57,42,Saint Laurent,41,
58,42,Saint Martin des Champs,41,
59,43,Notre Dame des Malades,42,
60,43,Saint Joseph Artisan,42,
61,44,Chapelle de Lariboisière (hôpital),43,
62,45,Chapelle de l'hôpital Saint-Louis,44,
63,46,Bon Pasteur,45,
64,47,Notre Dame d'Espérance,46,
65,48,Saint Ambroise,47,
66,49,Saint Joseph des Nations,48,
67,49,Notre Dame Réconciliatrice,48,
68,50,Sainte Marguerite,49,
